,date,sum_deposit
622,2021-12-02,137837291455.0
623,2021-12-03,183615010612.0
624,2021-12-04,1017788133302.0
625,2021-12-05,804814885039.0
626,2021-12-06,768691892792.0
627,2021-12-07,944277646660.0
628,2021-12-08,813551148078.0
629,2021-12-09,387721249821.0
630,2021-12-10,213555820478.0
631,2021-12-11,922295053355.0
632,2021-12-12,920788161023.0
633,2021-12-13,928229314343.0
634,2021-12-14,1284436412642.0
635,2021-12-15,1662806044825.0
636,2021-12-16,116817214747.0
637,2021-12-17,158944215117.0
638,2021-12-18,1015438065362.0
639,2021-12-19,920438114529.0
640,2021-12-20,1003436158696.0
641,2021-12-21,763327353937.0
642,2021-12-22,1257233530826.0
643,2021-12-23,221372860331.0
644,2021-12-24,272923277072.0
645,2021-12-25,1406033061342.0
646,2021-12-26,1179701445937.0
647,2021-12-27,1074815791267.0
648,2021-12-28,905412010515.0
649,2021-12-29,730404351002.0
650,2021-12-30,183793154437.0
651,2021-12-31,159063404593.0
652,2022-01-01,833549635770.0
653,2022-01-02,1148249428544.0
654,2022-01-03,868908755352.0
655,2022-01-04,1394631557262.0
656,2022-01-05,746416749168.0
657,2022-01-06,84583169115.0
658,2022-01-07,113431538911.0
659,2022-01-08,785791256269.0
660,2022-01-09,725430744791.0
661,2022-01-10,949919999418.0
662,2022-01-11,726801468049.0
663,2022-01-12,546270007120.0
664,2022-01-13,113887216611.0
665,2022-01-14,129976614508.0
666,2022-01-15,644291223479.0
667,2022-01-16,915368454258.0
668,2022-01-17,875704033994.0
669,2022-01-18,948498711661.0
670,2022-01-19,706627934921.0
671,2022-01-20,133968574851.0
672,2022-01-21,190773389927.0
673,2022-01-22,1061019363050.0
674,2022-01-23,955678146568.0
675,2022-01-24,984513137053.0
676,2022-01-25,986803415883.0
677,2022-01-26,1148696148710.0
678,2022-01-27,156264819425.0
679,2022-01-28,155981931067.0
680,2022-01-29,1004821895169.0
681,2022-01-30,881043478125.0
682,2022-01-31,870532198666.0
683,2022-02-01,931168188163.0
684,2022-02-02,1392798220371.0
685,2022-02-03,158283009249.0
686,2022-02-04,147213354737.0
687,2022-02-05,1170243828934.0
688,2022-02-06,1514190584348.0
689,2022-02-07,687387844006.0
690,2022-02-08,967198805420.0
691,2022-02-09,862430130612.0
692,2022-02-10,149242556920.0
693,2022-02-11,147548029624.0
694,2022-02-12,903572913800.0
695,2022-02-13,1297867353440.0
696,2022-02-14,962456515415.0
697,2022-02-15,125421295994.0
698,2022-02-16,804515293922.0
699,2022-02-17,122605433302.0
700,2022-02-18,149419519992.0
701,2022-02-19,1176610052238.0
702,2022-02-20,934855167090.0
703,2022-02-21,1389699131682.0
704,2022-02-22,1144019508759.0
705,2022-02-23,1234853991562.0
706,2022-02-24,133628599123.0
707,2022-02-25,163171881032.0
708,2022-02-26,731305899923.0
709,2022-02-27,848434320289.0
710,2022-02-28,986182445175.0
711,2022-03-01,134117544465.0
712,2022-03-02,812945863370.0
713,2022-03-03,284546813392.0
714,2022-03-04,164050419202.0
715,2022-03-05,1577176031590.0
716,2022-03-06,1346163702356.0
717,2022-03-07,1308902478048.0
718,2022-03-08,1386562078703.0
719,2022-03-09,1257188803785.0
720,2022-03-10,227907715191.0
721,2022-03-11,182055326108.0
722,2022-03-12,1321635914723.0
723,2022-03-13,1092908933106.0
724,2022-03-14,1474635560948.0
725,2022-03-15,1042281696437.0
726,2022-03-16,1326200387513.0
727,2022-03-17,370367683055.0
728,2022-03-18,207856218635.0
729,2022-03-19,1155794116971.0
730,2022-03-20,63540819352.0
731,2022-03-21,58330617545.0
732,2022-03-22,61079290180.0
733,2022-03-23,72500128741.0
734,2022-03-24,91062338947.0
735,2022-03-25,186848275444.0
736,2022-03-26,1066852861605.0
737,2022-03-27,1874054529142.0
738,2022-03-28,1130717161593.0
739,2022-03-29,852780470483.0
740,2022-03-30,596809352420.0
741,2022-03-31,126910044364.0
742,2022-04-01,98198439217.0
743,2022-04-02,164849996196.0
744,2022-04-03,1034512172988.0
745,2022-04-04,1112975897129.0
746,2022-04-05,990193850045.0
747,2022-04-06,1009636519743.0
748,2022-04-07,130634035458.0
749,2022-04-08,175181779607.0
750,2022-04-09,997145833541.0
751,2022-04-10,1024992897218.0
752,2022-04-11,1210964094214.0
753,2022-04-12,1286067059301.0
754,2022-04-13,686868833363.0
